p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^15 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 8*x^14 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^15 + 8*x^14 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^13 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^15 + 16*x^13 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 8*x^14 + 16*x^13 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^15 + 8*x^14 + 16*x^13 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^11 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^15 + 16*x^11 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 8*x^14 + 16*x^11 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^15 + 8*x^14 + 16*x^11 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^13 + 16*x^11 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674
p=2; n=16; d=1*p^64+...; I=[ 49, 34, 20, 16, 0 ]; R=[ <1, 49>, <2, 34>, <4, 20>, <16, 0> ]; A=<t + 1, t^2 + 1, t^4 + 1>; f=x^16 + 16*x^15 + 16*x^13 + 16*x^11 + 16*x^7 + 8*x^6 + 4*x^4 + 8*x^2 + 16*x + 2; Aut=2T1; Gal=16T1674

[Interrupted]
